Paper,Title,Journal,Year,Total_Citations,Cites_Per_Year
PARISI GI (2019),Continual Lifelong Learning With Neural Networks: A Review,NEURAL NETWORKS,2019,2286,285.75
HIPLOYLEE C (2017),Longitudinal Study Of Postconcussion Syndrome: Not Everyone Recovers,JOURNAL OF NEUROTRAUMA,2017,227,22.7
YUSTE R (2020),A Community-Based Transcriptomics Classification And Nomenclature Of Neocortical Cell Types,NATURE NEUROSCIENCE,2020,186,26.57
DU SQ (2017),Molecular Mechanisms Of Vascular Dementia: What Can Be Learned From Animal Models Of Chronic Cerebral Hypoperfusion?,MOLECULAR NEUROBIOLOGY,2017,184,18.4
VAIDYA AR (2019),Lesion Studies In Contemporary Neuroscience,TRENDS IN COGNITIVE SCIENCES,2019,164,20.5
SEKERES MJ (2016),Recovering And Preventing Loss Of Detailed Memory: Differential Rates Of Forgetting For Detail Types In Episodic Memory,LEARNING \& MEMORY,2016,137,12.45
CHAAYA N (2018),An Update On Contextual Fear Memory Mechanisms: Transition Between Amygdala And Hippocampus,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,2018,135,15
YANG Y (2017),Neonatal Maternal Separation Impairs Prefrontal Cortical Myelination And Cognitive Functions In Rats Through Activation Of Wnt Signaling,CEREBRAL CORTEX,2017,106,10.6
CHEN WC (2019),Aryl Hydrocarbon Receptor Modulates Stroke-Induced Astrogliosis And Neurogenesis In The Adult Mouse Brain,JOURNAL OF NEUROINFLAMMATION,2019,88,11
SINGH T (2021),"Ptz Kindling Model For Epileptogenesis, Refractory Epilepsy, And Associated Comorbidities: Relevance And Reliability",METABOLIC BRAIN DISEASE,2021,86,14.33
